iter,emax
1,5.710850067159219e12
2,4.593911139656582e9
3,4.445884308883586e9
4,7.437758948461937e8
5,4.2139892092335904e8
6,8.31856283975629e7
7,2.2995706672536563e7
8,2.0287012972840313e7
9,1.1381975474891644e7
10,8.461586892462343e6
11,7.137106245031981e6
12,6.686204944905936e6
13,6.25359279794033e6
14,3.25512984240844e6
15,2.6916250736085917e6
16,1.7556006819619336e6
17,1.7202224602304597e6
18,1.226462466313668e6
19,1.1640888331107534e6
20,708255.9292081894
21,632143.2074350812
22,615606.1870143382
23,597613.8927750497
24,597151.1041386655
25,463383.357530231
26,433666.666365448
27,398303.61659811216
28,276950.64002698404
29,273561.5021878809
30,251981.37656294034
31,239878.35239501693
32,208062.39626462577
33,204591.12788684064
34,167573.01786962713
35,158183.00110439782
36,157999.24378829362
37,141053.12876279376
38,103385.55136307432
39,94349.52524338162
40,93175.50836338128
41,80941.27982159167
42,54623.27847868063
43,51829.15027958856
44,51109.730609019316
45,43812.33971061424
46,42705.04143888246
47,38264.106988063235
48,34482.487883406066
49,34088.50405034223
50,32595.046459763023
51,30167.367163578674
52,29458.79456013487
53,23353.77589783467
54,22961.92856998295
55,22780.172763335704
56,21952.819722910677
57,18296.13785693408
58,17526.20334685773
59,16331.20300606139
60,15602.941225224753
61,15164.885774893664
62,13407.23714778919
63,13194.419359912921
64,12016.697676475662
65,11838.505743154765
66,11583.532040679702
67,11397.052433326086
68,11176.4677071523
69,10725.664630571111
70,9834.572349126709
71,9603.65326698591
72,9004.965260935416
73,8153.153949455149
74,7780.419009962035
75,7758.2401185756535
76,7386.211893363181
77,7286.892520210857
78,6991.156965416294
79,6971.207466570233
80,6835.518674647007
81,6547.152235801887
82,6043.935408766894
83,5957.349547652159
84,5951.333162314325
85,5883.421973971193
86,5854.407091248267
87,5811.281421712782
88,5788.064770200943
89,5762.826895397837
90,5717.736439227285
91,5196.48892428546
92,5181.187826324312
93,5109.185361186387
94,4922.76117598963
95,4837.339430180068
96,4820.334107022613
97,4734.639530130295
98,4706.351043292506
99,4549.165717991955
100,4481.501807305508
101,4438.736674021962
102,4424.45439065197
103,4185.864210656181
104,4167.237569536432
105,3900.1935817914377
106,3745.2389793813995
107,3571.560607452155
108,3532.186558318183
109,3501.867702495554
110,3439.416089628165
111,3426.2526962292286
112,3400.106779791817
113,3349.89447727196
114,3338.4057817541834
115,3202.0151851088435
116,3184.8431834985663
117,3059.4392093708016
118,3051.2002129945586
119,2994.446911571156
120,2958.312539713336
121,2899.003527850275
122,2787.1639452088766
123,2782.6460929204354
124,2584.5469891525695
125,2083.3036683312357
126,2007.2140521979936
127,1987.9843732894801
128,1944.2766335876931
129,1844.865615420895
130,1724.0516181455725
131,1722.349619595128
132,1721.0782525815964
133,1720.570892702811
134,1674.17357532582
135,1599.3384177593707
136,1524.0506424575792
137,1482.5314756117202
138,1460.0737148160517
139,1427.7236363405386
140,1404.268653332628
141,1374.2430754880088
142,1370.8629629853367
143,1356.664969137358
144,1330.9470891912736
145,1294.9124687382619
146,1289.3760467623867
147,1258.274840149
148,1200.7008186133676
149,1197.788449109088
150,1192.1373070318118
151,1148.5365508290492
152,1131.3564164291226
153,1117.791241263326
154,1088.1593910829795
155,1085.3771470744603
156,1078.7630497689745
157,1068.083145748108
158,1045.1715746630875
159,1029.3322347431465
160,999.7232305308339
161,995.7991298537372
162,970.0060882104588
163,953.4306406513529
164,947.9868145000244
165,935.2802326937481
166,915.5409164680884
167,908.1743024550038
168,903.8849920263174
169,902.2750356945085
170,901.367531172564
171,898.9100762016103
172,892.1953841163219
173,877.6240964700478
174,874.4718045938782
175,872.6179772385191
176,849.7153801793565
177,841.6931778266628
178,819.969707463508
179,813.3959687328236
180,798.3189654133461
181,792.5429846129543
182,776.7692138423769
183,774.3423777068645
184,738.3297406994926
185,735.1244235408979
186,725.5419965527026
187,721.2706320814984
188,718.5737970409348
189,707.6100793412664
190,702.2403759515362
191,691.0340590658122
192,683.2537954632869
193,677.6275256233416
194,671.6079978005806
195,670.1282084989309
196,635.2507062616695
197,629.3959858938376
198,625.8808885545947
199,621.6615023401107
200,614.3080706519187
201,609.5630959584098
202,586.4247328786234
203,583.4841272508055
204,580.9419630761737
205,571.946834626812
206,567.0956797385921
207,557.9359467993531
208,557.4749014509766
209,554.9486570780097
210,543.9957523244981
211,534.0621838775372
212,529.2907719315124
213,523.5363267543146
214,517.5250664561918
215,514.0651752497627
216,509.4313462338059
217,508.2213849035718
218,507.5492185901286
219,507.5387297792404
220,498.2252271648208
221,491.838599421077
222,481.7553841927785
223,479.5049551168055
224,473.10608071579315
225,471.4962649190966
226,463.92893587451545
227,459.9572918038673
228,456.2618891444213
229,454.6451261073499
230,440.42420182607816
231,439.0751923885299
232,434.9753364813174
233,432.1648894506658
234,431.11089830569944
235,421.8183475119914
236,418.00717382718824
237,414.4181699094243
238,412.7484199722884
239,397.3375018515112
240,390.016483363117
241,386.16492628519444
242,385.0035805258437
243,382.82979771886255
244,378.9560375862548
245,369.9619276982923
246,368.93216190553403
247,365.96214848792147
248,365.30725449240566
249,362.01121178019946
250,356.4896762840405
251,338.10699771531756
252,335.34072773443705
253,334.2496693910288
254,334.0161214085483
255,329.7798312977369
256,326.4239985703452
257,324.85503386671985
258,322.1928001695765
259,318.6132283930954
260,317.56079059273134
261,315.2831418625371
262,309.58510196897066
263,303.44420266438925
264,297.7734867588243
265,295.83876361519987
266,294.1167927274478
267,287.95040700863035
268,286.76029346506454
269,285.6465879577725
270,284.062051208327
271,279.6980832403163
272,278.0946844322727
273,277.5744864626885
274,272.28767206842
275,270.89899482553045
276,269.1728073483321
277,266.81229721962404
278,258.8588774103885
279,256.15548732816166
280,254.021947925781
281,249.83818870116116
282,249.30011477339835
283,246.57190700314797
284,245.70580392059375
285,241.87360260343527
286,236.28364482238308
287,235.98057343964135
288,235.24809855522793
289,232.07010784751142
290,230.523465289671
291,224.19434941439457
292,223.1132810627491
293,221.600768279983
294,221.3262437142902
295,209.8132835516183
296,209.39852070793037
297,208.74161261402512
298,208.43510315410563
299,208.10785290609883
300,203.6640412467937
301,199.9709214512417
302,199.0191788409674
303,198.53595005789626
304,198.2251616843105
305,195.3351528640731
306,192.34046744980012
307,190.96215608214715
308,189.3426266163218
309,188.2188287137498
310,187.57186841158924
311,182.81094656089917
312,178.49667361767797
313,177.66560221545487
314,176.25461749697834
315,174.74363174418437
316,174.64353943188578
317,173.61997412852955
318,171.4291867621123
319,170.8437188280478
320,170.65230875460068
321,164.02040042102035
322,162.5292905824462
323,152.03145189411325
324,151.60021691734312
325,148.23420023385577
326,146.66829734396342
327,145.63284255082183
328,143.91206814245706
329,142.0971813251156
330,140.83115239471306
331,136.98315534466693
332,134.0296138441413
333,124.14069189633733
334,119.97466666584413
335,119.71368867549376
336,119.18272295888775
337,116.82705118459037
338,115.25378120497558
339,111.4774425837627
340,108.8749586603698
341,108.87392403475226
342,108.13032978208179
343,107.03386679737656
344,106.89014788039339
345,106.49224867667633
346,104.83357299914951
347,103.80735599798771
348,102.12850778696767
349,99.91156435406887
350,99.2546723172612
351,99.17518053854315
352,96.7722953893757
353,96.38291955600528
354,96.31208472343675
355,95.382167155389
356,94.2903508566933
357,93.25329642334455
358,89.31270224646707
359,89.04172981154315
360,87.7370142956847
361,86.2332156657308
362,83.7774675323509
363,81.58620693635245
364,79.89534782744542
365,78.2322392812851
366,77.82584177995707
367,77.23351616972289
368,76.78328582132414
369,76.34730688127038
370,76.26123026399364
371,74.0978513938554
372,73.69223521628058
373,73.50515266923398
374,72.16597620711096
375,70.49170027535473
376,68.92600949290167
377,68.10273942841215
378,67.88618909728524
379,67.72054603284059
380,66.75799560173468
381,66.67982753661909
382,66.29543958185573
383,66.01027228171208
384,64.55295815334293
385,62.69996606793095
386,61.47517171897774
387,61.18191152852106
388,57.68861343477459
389,57.62322386813657
390,54.683127583610094
391,53.83179871045004
392,51.93448297889346
393,51.544684591892825
394,51.39680340362802
395,49.64805175431429
396,48.542567285471
397,47.1271872335873
398,47.01258541743052
399,45.48186679015502
400,45.17676465517676
401,44.735398700577015
402,43.201539199775716
403,41.90970071438651
404,40.24746249403989
405,38.56974240844162
406,36.79652659354786
407,33.4691692148268
408,33.1693225444105
409,32.43102003695595
410,29.640129148979135
411,29.227960838659165
412,25.816571479221246
413,25.315048237101585
414,23.65476760380222
415,21.454856584691306
416,19.52522388448576
417,18.597036831196085
418,18.32174613694024
419,15.311524694186254
420,14.23518538189304
421,14.232670416714747
422,13.655454634347542
423,13.389979418263472
424,13.365622307243108
425,12.8826536824997
426,12.55646705446302
427,12.31353664330117
428,12.182373391488234
429,11.705235792144684
430,11.077037069439491
431,10.872854468411823
432,9.032633746175897
433,8.271539432452315
434,7.111522152127556
435,6.197636045867242
436,5.828072737723936
437,5.388936917380818
438,3.8308018621481352
439,1.8288354462350824
440,1.4467786811682686
441,1.1286169565837838
442,0.3451454934265499
443,0.22540152338932984
444,-0.9442721861601413
445,-2.101725465372411
446,-2.2450843632248905
447,-2.9666017723657987
448,-3.0034513326924284
449,-4.106598691520141
450,-4.508989568034757
451,-4.80227874563051
452,-4.9387950119242845
453,-5.329584098049047
454,-5.775429892022387
455,-6.568624494892752
456,-6.6485713731474405
457,-6.8331088914468125
458,-7.602685640991751
459,-7.776241793158654
460,-7.988705352025235
461,-8.06877964373313
462,-8.364940947875915
463,-8.422485541352302
464,-8.771566355535931
465,-9.978890994435389
466,-11.810243566278757
467,-12.391761266073452
468,-12.806748845928468
469,-12.899149980413256
470,-13.100815886778534
471,-15.14211710522003
472,-16.805600907255226
473,-17.77191411748975
474,-18.386884695591895
475,-18.930852426935793
476,-19.30717033594074
477,-19.768165533409153
478,-20.343645402975163
479,-20.77618632916397
480,-21.04847790966447
481,-21.974172245585038
482,-22.33838574394383
483,-22.36618149202303
484,-22.693281495414272
485,-23.178088995275026
486,-23.25818508555506
487,-23.38556059223069
488,-24.992908633378793
489,-25.00059706464764
490,-25.20917412264955
491,-25.650771467807342
492,-26.60332239922791
493,-27.027776925516743
494,-27.038592255951894
495,-27.081221532840914
496,-27.538912799511955
497,-27.682742042963493
498,-27.707731875243002
499,-28.206077957337577
500,-28.851811222409825
501,-29.10093666207556
502,-29.904303576183608
503,-29.966299543024398
504,-30.257721425294584
505,-30.650299022986268
506,-30.694875861123776
507,-31.16997231026812
508,-31.171059527802036
509,-31.17962230161553
510,-31.413529966057474
511,-31.445980767523416
512,-31.49584086764277
513,-32.730883296353625
514,-32.81254446496297
515,-33.17542190018132
516,-33.43659027428132
517,-33.76527486892597
518,-33.855032775777616
519,-33.89826369165457
520,-34.1606329191078
521,-34.2772934212625
522,-34.50031092114342
523,-35.15250980897743
524,-35.1870636259375
525,-35.34295334726174
526,-35.81150059352464
527,-35.97410645249467
528,-36.201119761969245
529,-36.27545761052545
530,-36.528321977447234
531,-36.55672039178134
532,-36.62299881015297
533,-36.85713380202489
534,-36.90468718813673
535,-37.10959684667256
536,-37.14429189975591
537,-37.1626707840855
538,-37.33506626878678
539,-37.52399025861367
540,-37.584037238982326
541,-38.00735697616689
542,-38.26246464350788
543,-38.31828584244881
544,-38.46223035993546
545,-38.58220752686161
546,-38.68930903157819
547,-38.90372858997437
548,-39.65205252007145
549,-39.72653500593479
550,-39.737793860717176
551,-39.74221197410008
552,-39.78817827867864
553,-40.209731892471304
554,-40.58426447136511
555,-40.643837851073314
556,-40.68707297989241
557,-40.736102817789444
558,-40.896733262927214
559,-40.90248624902415
560,-41.2737140883588
561,-41.45965581820962
562,-41.46493686805648
563,-41.48880964768584
564,-41.90049702791657
565,-41.90769919302986
566,-42.23978739226485
567,-42.341897939609765
568,-42.49161234723091
569,-42.72426738406607
570,-43.568362345591815
571,-43.66093200209751
572,-43.88300267884785
573,-43.905262028224826
574,-44.14309964561192
575,-44.28632720580294
576,-44.40155395260939
577,-44.47554804870035
578,-44.625988842176795
579,-44.64934890653088
580,-44.728440835441944
581,-44.880337704713355
582,-45.10604855132767
583,-45.14359213427092
584,-45.37881524875208
585,-45.397879869131984
586,-45.46451931117302
587,-45.54352774429489
588,-45.55754603609508
589,-45.56301522290862
590,-45.777495361087816
591,-46.06473686980554
592,-46.1212844694559
593,-46.15645030001914
594,-46.20720790643537
595,-46.236227583836765
596,-46.39742626148795
597,-46.51564843293857
598,-46.557387273213145
599,-46.56806207657998
600,-46.579608443122304
601,-46.73079122593555
602,-46.754213541927896
603,-46.77515447696382
604,-46.77721601246243
605,-46.92487313120301
606,-47.49185153579176
607,-47.552685449958354
608,-47.607810200520284
609,-47.80009959123414
610,-47.896418247847286
611,-47.94608516473047
612,-47.94798230545416
613,-47.953492136326275
614,-47.95898500557679
615,-47.962708830302255
616,-47.99635490527788
617,-48.05548515497453
618,-48.22431803052503
619,-48.311742652318635
620,-48.39688334383346
621,-48.807214671882704
622,-48.83603516461304
623,-48.86856207224891
624,-48.96980193271953
625,-49.12444715036682
626,-49.143874854494
627,-49.156694015011304
628,-49.21005188767736
629,-49.24422575832423
630,-49.284141953041825
631,-49.320937431327906
632,-49.52204879261793
633,-49.584410342325384
634,-49.64131222370445
635,-49.71271866967005
636,-49.83942962081501
637,-49.846346214828564
638,-49.93017496966341
639,-49.94162970245656
640,-50.099640800626446
641,-50.15463333348211
642,-50.15466541295689
643,-50.16963515881746
644,-50.29715836469319
645,-50.31603722108147
646,-50.37870101024296
647,-50.39327246501737
648,-50.3984305763993
649,-50.43540849186104
650,-50.446001831357876
651,-50.47303259171502
652,-50.4862726038748
653,-50.514108070619045
654,-50.52019082470433
655,-50.53600581615587
656,-50.66283415572384
657,-50.665151723903044
658,-50.69208661205594
659,-50.72189064055362
660,-50.77471806958747
661,-50.80027443430594
662,-50.81321745111922
663,-50.87501624324662
664,-50.87961395320347
665,-50.92042127647347
666,-50.98856043758599
667,-51.03629313510179
668,-51.08113049645224
669,-51.08754051630535
670,-51.16891494570732
671,-51.183702931249904
672,-51.37427300076531
673,-51.47241602379539
674,-51.4839399955368
675,-51.503503484246735
676,-51.53685333799983
677,-51.63043376716729
678,-51.700443405716534
679,-51.71862519149284
680,-51.74069579234998
681,-51.75165466975796
682,-51.76413661027718
683,-51.784408788455416
684,-51.79789967376949
685,-51.87693408058335
686,-51.922074657999254
687,-51.92488235901225
688,-51.9723732330706
689,-51.99503156621377
690,-52.03191066361876
691,-52.11677163153485
692,-52.12218051472906
693,-52.14253836733013
694,-52.163153608365505
695,-52.16897634307814
696,-52.17789981752934
697,-52.24445767352319
698,-52.275639898765874
699,-52.32447583473194
700,-52.32546778046589
701,-52.34211209352834
702,-52.35218675520154
703,-52.368631132807955
704,-52.40978236047788
705,-52.41204535639492
706,-52.47724704687326
707,-52.51439835295171
